time,project,amount_usd
2024-12-23 00:00:00.000 UTC,lifinity,3.0700589133366523e+09
2023-05-22 00:00:00.000 UTC,whirlpool,8.019369251244241e+07
2024-10-21 00:00:00.000 UTC,raydium,1.6936938143364582e+10
2024-05-13 00:00:00.000 UTC,pumpdotfun,6.208287224223638e+08
2023-11-27 00:00:00.000 UTC,phoenix,7.757145742521864e+07
2024-04-22 00:00:00.000 UTC,pumpdotfun,6.980158912650113e+07
2023-01-23 00:00:00.000 UTC,meteora,1.2122754464349507e+06
2023-04-24 00:00:00.000 UTC,phoenix,576660.771551886
2023-07-03 00:00:00.000 UTC,lifinity,7.496106600159945e+07
2022-12-19 00:00:00.000 UTC,meteora,235252.29400446633
2023-04-10 00:00:00.000 UTC,raydium,6.184186124126214e+07
2023-08-07 00:00:00.000 UTC,lifinity,2.1376204260330558e+07
2025-01-13 00:00:00.000 UTC,pumpdotfun,2.406990698016807e+09
2024-08-26 00:00:00.000 UTC,whirlpool,2.741984563599905e+09
2023-08-07 00:00:00.000 UTC,phoenix,7.082639824334374e+06
2024-08-12 00:00:00.000 UTC,whirlpool,3.395788393448209e+09
2024-04-22 00:00:00.000 UTC,whirlpool,2.1148078464260168e+09
2024-04-08 00:00:00.000 UTC,goosefx_ssl,789655.8989582419
2025-02-03 00:00:00.000 UTC,meteora,6.4906950420372305e+09
2022-08-08 00:00:00.000 UTC,lifinity,2.174956399858391e+07
2024-07-22 00:00:00.000 UTC,goosefx_ssl,1.406718827352808e+06
2023-03-20 00:00:00.000 UTC,raydium,4.677713708961431e+07
2023-01-09 00:00:00.000 UTC,whirlpool,2.7141948314990455e+08
2023-04-17 00:00:00.000 UTC,lifinity,4.2952003503506996e+07
2022-07-04 00:00:00.000 UTC,whirlpool,1.6322771421434727e+08
2022-10-10 00:00:00.000 UTC,whirlpool,8.197945349243724e+07
2024-05-20 00:00:00.000 UTC,meteora,1.399498886993798e+09
2024-08-05 00:00:00.000 UTC,lifinity,9.856956183074857e+08
2024-07-22 00:00:00.000 UTC,phoenix,6.000353516040686e+08
2023-06-05 00:00:00.000 UTC,phoenix,8.242115004190444e+06
2023-08-28 00:00:00.000 UTC,raydium,2.9957334457524445e+07
2022-12-05 00:00:00.000 UTC,raydium,2.337046106629404e+07
2022-10-17 00:00:00.000 UTC,raydium,4.0535073264059834e+07
2024-05-06 00:00:00.000 UTC,meteora,1.120426348898592e+09
2024-04-22 00:00:00.000 UTC,phoenix,9.480641576514871e+08
2023-06-12 00:00:00.000 UTC,raydium,3.280453688041419e+07
2024-05-13 00:00:00.000 UTC,whirlpool,2.6158814572130227e+09
2024-07-15 00:00:00.000 UTC,goosefx_ssl,2.447109046811294e+06
2023-05-01 00:00:00.000 UTC,lifinity,3.9735592272283114e+07
2025-02-10 00:00:00.000 UTC,lifinity,6.598847867688193e+08
2024-12-16 00:00:00.000 UTC,pumpdotfun,1.8413855995186052e+09
2024-01-29 00:00:00.000 UTC,phoenix,3.5242641899834526e+08
2022-08-08 00:00:00.000 UTC,whirlpool,2.0885097645093828e+08
2023-09-25 00:00:00.000 UTC,whirlpool,1.1631670150935209e+08
2023-09-18 00:00:00.000 UTC,goosefx_ssl,0.124798042772
2024-07-29 00:00:00.000 UTC,whirlpool,3.434585885525491e+09
2023-03-20 00:00:00.000 UTC,phoenix,673487.3203089496
2023-01-23 00:00:00.000 UTC,lifinity,3.438073429797883e+07
