project,_col1,usd_volume
wigoswap,2024-04-29 00:00:00.000 UTC,3.561670883551414e+06
merchant_moe,2024-02-19 00:00:00.000 UTC,8.921270709770119e+06
elk_finance,2025-01-27 00:00:00.000 UTC,29192.204239819555
pancakeswap,2025-02-03 00:00:00.000 UTC,1.929258266668307e+10
verse_dex,2024-09-02 00:00:00.000 UTC,201764.85300419838
ubeswap,2024-12-02 00:00:00.000 UTC,1.2315250687300533e+06
nile,2024-09-23 00:00:00.000 UTC,3.2842208706309553e+07
oasisswap,2024-03-04 00:00:00.000 UTC,22991.470022410816
baseswap,2024-09-30 00:00:00.000 UTC,1.5682945489391142e+08
velodrome,2024-03-04 00:00:00.000 UTC,7.925715332315743e+07
dackieswap,2024-09-16 00:00:00.000 UTC,203243.39380014004
horizondex,2024-12-23 00:00:00.000 UTC,1769.2431721866803
leetswap,2024-06-10 00:00:00.000 UTC,366.14494281929547
mute,2024-08-12 00:00:00.000 UTC,901531.8219222634
sharkswap,2024-12-02 00:00:00.000 UTC,43849.52845420671
scale,2024-05-27 00:00:00.000 UTC,300079.79959451495
horizondex,2025-02-03 00:00:00.000 UTC,2690.270478876066
alienbase,2025-02-10 00:00:00.000 UTC,247051.8715379081
leetswap,2024-09-02 00:00:00.000 UTC,5.006298888005145
flashliquidity,2024-08-05 00:00:00.000 UTC,400.38501687067185
fenix,2025-02-10 00:00:00.000 UTC,2545.591190945165
woofi,2024-12-23 00:00:00.000 UTC,1.0898032266703108e+08
swaap,2024-11-04 00:00:00.000 UTC,1.253539192933455e+08
uniswap,2024-06-03 00:00:00.000 UTC,1.3642872198031445e+10
swaap,2024-12-30 00:00:00.000 UTC,3.5355823218672097e+08
infusion,2024-08-12 00:00:00.000 UTC,201220.16552930794
alienbase,2024-07-29 00:00:00.000 UTC,608750.3575950653
thruster,2024-03-11 00:00:00.000 UTC,5.917046382003952e+08
carbon_defi,2024-11-25 00:00:00.000 UTC,2.971645580492733e+06
integral,2025-02-03 00:00:00.000 UTC,4.284345436997336e+07
agni,2024-09-09 00:00:00.000 UTC,1.0304500881975258e+07
kyberswap,2024-07-29 00:00:00.000 UTC,532897.1790105478
equalizer,2024-10-21 00:00:00.000 UTC,3.637851578574737e+06
kyberswap,2024-02-26 00:00:00.000 UTC,3.611269136147559e+06
spiritswap,2024-10-14 00:00:00.000 UTC,624317.1822180735
hyperjump,2024-10-21 00:00:00.000 UTC,0.19097216575405543
maverick,2024-05-13 00:00:00.000 UTC,2.0009641214349732e+08
vesync,2024-04-15 00:00:00.000 UTC,1.168810292611983e+06
airswap,2024-04-01 00:00:00.000 UTC,5.362395399687353e+06
maverick,2024-10-14 00:00:00.000 UTC,3.488767382682763e+08
tropicalswap,2024-09-30 00:00:00.000 UTC,708.4031509041299
flashliquidity,2025-01-20 00:00:00.000 UTC,164.90907480471412
stablebase,2024-03-11 00:00:00.000 UTC,84956.00304690827
equalizer,2024-07-22 00:00:00.000 UTC,1.7694099618574004e+06
nuri,2024-04-01 00:00:00.000 UTC,1.0642182610606072
babyswap,2024-12-16 00:00:00.000 UTC,4.604718991074505e+06
blasterswap,2025-01-13 00:00:00.000 UTC,61729.57182317214
katana,2024-03-04 00:00:00.000 UTC,2.2509869158001676e+08
dooar,2024-03-25 00:00:00.000 UTC,3.7728498047937416e+06
swapr,2024-06-24 00:00:00.000 UTC,140.3304895148697
defiswap,2024-07-01 00:00:00.000 UTC,795662.3318371329
blasterswap,2024-12-30 00:00:00.000 UTC,30940.588865665282
