product_name,avg_volume_7d,avg_volume_30d,avg_volume_90d,volume_change_7d_pct,volume_change_30d_pct,volume_change_90d_pct,market_share_7d,market_share_30d,market_share_90d,volume_to_tvl_ratio,label,average_tvl
NLX Protocol,147.85714285714286,2157.266666666667,32267.2,-0.8459133541759714,-0.9400297821749882,-0.4282301949714622,1.5573678145318677e-08,1.6259779190764524e-07,2.9011434267974432e-06,0.0,0.0,0
Amped Finance,78.28571428571429,775.4,3940.7444444444445,-0.9715206319509406,-0.8025565288246078,-0.1653715818703817,8.245773549405445e-09,5.844355257201464e-08,3.5431226885780426e-07,0.0,0.0,0
QuickPerps,64.71428571428571,441.26666666666665,12379.044444444444,-0.9617398648648648,3.033516148689823,0.15663302657377595,6.8163055070815075e-09,3.325921025485039e-08,1.1129996845103821e-06,0.0,0.0,0
waveX,38.57142857142857,1208.68,1208.68,-0.9909553798740454,0.0,0.0,4.062698646604872e-09,9.110079071800703e-08,1.0867239912671486e-07,0.0,0.0,0
Pinnako,31.714285714285715,24.566666666666666,484.25555555555553,-0.5326315789473685,-0.8798108284409655,-0.9986870087768536,3.340441109430673e-09,1.8516420877643705e-09,4.353940911793226e-08,0.0,0.0,0
BLEX,31.142857142857142,55.36666666666667,150.5,0.0,-0.6028216164514586,-0.9549177736136675,3.280252981332823e-09,4.173103809737611e-09,1.3531452550361208e-08,0.0,0.0,0
Trado Perpetual,17.857142857142858,191.13333333333333,175988.07777777777,-0.9047981721249048,0.4793601651186791,-0.8895260514917939,1.8808790030578116e-09,1.4406127179431344e-08,1.5823085208500186e-05,0.0,0.0,0
LineHub Perps,14.428571428571429,30265.733333333334,25635.922222222223,-0.9997214331025733,4.779359158784515,3.062337465688424,1.5197502344707117e-09,2.2811929032721725e-06,2.304925349732561e-06,0.0,0.0,0
Rollie Finance,14,2129.3333333333335,5675.5,-0.972,-0.690574336270326,-0.9127841458192326,1.4746091383973242e-09,1.6049239696931887e-07,5.10284112621761e-07,0.0,0.0,0
Pika,14,5.833333333333333,42.355555555555554,0.0,1.1875,3.1752464403066814,1.4746091383973242e-09,4.396707806767501e-10,3.808187310592612e-09,0.0,0.0,0
