token_pair,one_day_volume,dau_1d,prev_volume_1d,volume_change_1d_pct,seven_day_volume,dau_7d,prev_volume_7d,volume_change_7d_pct,thirty_day_volume,dau_30d,prev_volume_30d,volume_change_30d_pct
MEME-WETH,2.890405642410539e+06,469,1.7400934710633056e+06,0.6610634373820856,1.6383287378067425e+07,1801,1.7331564478698544e+07,-0.054713877780428015,7.20856649107505e+07,5624,5.929379385653499e+07,0.21573709864418916
BOLZ-WETH,1.6126755417434204e+07,2565,0,Infinity,1.6126755417434204e+07,2565,0,Infinity,1.6126755417434204e+07,2565,0,Infinity
MORPHO-WETH,1.860352986317188e+06,219,989949.0482922762,0.8792411483463849,1.5871385532233363e+07,791,1.4375809668239987e+07,0.1040342004038565,9.983163441119292e+07,2424,1.4625035500120464e+08,-0.31739219087454096
DOGE-WETH,1.5622639883455422e+06,706,3.2531170362087865e+06,-0.5197639768392042,1.5824487565500593e+07,3900,1.6858484889405724e+07,-0.06133394137660138,1.6508875007036448e+08,14915,1.4814346451777425e+08,0.11438429368281126
cbETH-WETH,1.5267836760500884e+06,192,2.600136204055684e+06,-0.4128062700451553,1.5440206427604849e+07,1567,2.68325597048297e+07,-0.4245719902441621,8.570129074064113e+07,9477,8.082986638756622e+07,0.06026762842483509
ezETH-WETH,6.55568740775249e+06,105,913571.994530171,6.175884820247722,1.5273284082167292e+07,1066,3.708687912206697e+07,-0.5881755369089665,1.0142550303766641e+08,2407,1.3924252475313023e+08,-0.2715910371670683
CHEX-WETH,1.7027071790407817e+06,213,1.6981571984700083e+06,0.0026793635918233986,1.4987586094737884e+07,1235,1.7915448279227696e+07,-0.16342667729305782,5.483431586905546e+07,3363,4.824619136688023e+07,0.13655221926383612
WETH-XCN,3.6249661379613043e+06,851,1.807286365759564e+06,1.005750835417722,1.4339680945512034e+07,3224,3.2224007064345554e+07,-0.5550000682137927,1.6412259071302515e+08,14269,1.7523033685845484e+06,92.6610598686447
pufETH-wstETH,876553.1895899577,38,1.172429290361483e+06,-0.2523615737033497,1.3788235484872451e+07,487,1.3626319571440673e+07,0.011882585945741153,4.781570483724911e+07,857,6.152663470301222e+07,-0.2228454381089667
AYA-WETH,1468.4142612801945,9,917.2347757990273,0.6009142915465895,1.3737435960219774e+07,2583,47.087277753258405,291743.1104199139,1.3737617748549905e+07,2588,261.4741652988326,52538.101646426556
FRAX-_C,4.1268936613443326e+06,84,796657.3169724034,4.180262044197468,1.3571876780893408e+07,316,5.059012024366287e+07,-0.7317287107536876,1.2374652382880534e+08,794,8.515752280794448e+07,0.4531484682555942
VEE-WETH,6.825779116921554e+06,1416,971651.6090110254,6.0249244210782775,1.3076816078457065e+07,4088,2.0189218399863408e+06,5.4771284452227915,1.736061669391738e+07,4618,339854.100382904,50.08255770449043
EIGEN-WETH,2.872315659234714e+06,363,2.241214548430342e+06,0.28158888726042325,1.2704244335674878e+07,1849,3.41805688720889e+07,-0.6283196928870051,9.940554150572406e+07,4808,1.3767072104585776e+08,-0.27794711358697444
VIRTUAL-WETH,3.836136586752392e+06,395,1.1223006746977812e+06,2.4181005796734514,1.265371718474248e+07,1485,2.470594110146795e+07,-0.4878269509032936,1.421415434512131e+08,9845,1.5329500001008925e+08,-0.0727581236057411
HARRYBOLZ-WETH,1.248286024172756e+07,1339,0,Infinity,1.248286024172756e+07,1339,0,Infinity,1.248286024172756e+07,1339,0,Infinity
rsETH-WETH,1.2489199354767231e+06,88,1.306018238751218e+06,-0.04371937663680011,1.2322804839808604e+07,554,3.1017216339051247e+07,-0.6027108072785382,8.265414004933785e+07,1692,1.0776700557380293e+08,-0.23302925965839183
